ID|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|PROVINCIA|MUNICIPIO|POBLACION|LATITUD_WGS84_4326|LONGITUD_WGS84_4326
05-E1-00001||PLAZA SANTA TERESA|6||05001|05019|AVILA|ÁVILA|AVILA||
05-E1-00008||CALLE CAPITAN PEÑAS|17||05003|05019|AVILA|ÁVILA|AVILA||
05-E1-00016||PLAZA PILON (DEL)|11||05412|05207|AVILA|SAN ESTEBAN DEL VALLE|SAN ESTEBAN DEL VALLE||
05-E1-00021||CALLE SANTA TERESA|61||05110|05022|AVILA|EL BARRACO|BARRACO (EL)||
05-E1-00031||CTRA GAVILANES|3||05461|05127|AVILA|MIJARES|MIJARES||
05-E1-00034||CALLE DOMINGO LABAJO|2||05480|05047|AVILA|CANDELEDA|CANDELEDA||
05-E1-00037||CALLE CERVANTES|22|||05240|AVILA|SOTILLO DE LA ADRADA|SOTILLO DE LA ADRADA||
05-E1-00040||CALLE CALVO SOTELO|2||05310|05074|AVILA|FONTIVEROS|FONTIVEROS||
05-E1-00041||CALLE ALCALDE MARTIN MARTIN BLAZQUEZ|S-N|||05135|AVILA|MUÑANA|MUÑANA||
05-E1-00050||CALLE TRISTE CONDESA|19||05400|05014|AVILA|ARENAS DE SAN PEDRO|ARENAS DE SAN PEDRO||
05-E1-00059||AVDA ESCUELAS|S-N||05621|05192|AVILA|PUERTO CASTILLA|PUERTO CASTILLA||
05-E1-00068||CALLE REGUERA (LA)|2||05490|05110|AVILA|LANZAHÍTA|LANZAHITA||
05-E1-00075||CALLE ISABEL LA CATOLICA|11||05220|05114|AVILA|MADRIGAL DE LAS ALTAS TORRES|MADRIGAL DE LAS ALTAS TORRES||
05-E1-00076||CALLE SAN CRISTOBAL|8||05510|05225|AVILA|SANTA MARÍA DEL BERROCAL|SANTA MARIA DEL BERROCAL||
05-E1-00077||CALLE IGLESIA|24||05100|05163|AVILA|NAVALUENGA|NAVALUENGA||
05-E1-00078||CALLE SEGOVIA|20||05005|05019|AVILA|ÁVILA|AVILA||
