Provincias;Municipios;Sexo;Edad;Total
05 Ávila;05001 Adanero;Total;De 65 a 69 años;16
05 Ávila;05001 Adanero;Total;De 70 a 74 años;14
05 Ávila;05001 Adanero;Total;De 75 a 79 años;14
05 Ávila;05001 Adanero;Total;De 80 a 84 años;12
05 Ávila;05001 Adanero;Total;De 85 a 89 años;5
05 Ávila;05001 Adanero;Total;De 90 a 94 años;3
05 Ávila;05001 Adanero;Total;De 95 a 99 años;1
05 Ávila;05001 Adanero;Total;100 y más años;0
05 Ávila;05002 Adrada, La;Total;De 65 a 69 años;203
05 Ávila;05002 Adrada, La;Total;De 70 a 74 años;165
05 Ávila;05002 Adrada, La;Total;De 75 a 79 años;115
05 Ávila;05002 Adrada, La;Total;De 80 a 84 años;73
05 Ávila;05002 Adrada, La;Total;De 85 a 89 años;34
05 Ávila;05002 Adrada, La;Total;De 90 a 94 años;35
05 Ávila;05002 Adrada, La;Total;De 95 a 99 años;7
05 Ávila;05002 Adrada, La;Total;100 y más años;0
05 Ávila;05005 Albornos;Total;De 65 a 69 años;15
05 Ávila;05005 Albornos;Total;De 70 a 74 años;4
05 Ávila;05005 Albornos;Total;De 75 a 79 años;8
05 Ávila;05005 Albornos;Total;De 80 a 84 años;9
05 Ávila;05005 Albornos;Total;De 85 a 89 años;9
05 Ávila;05005 Albornos;Total;De 90 a 94 años;5
05 Ávila;05005 Albornos;Total;De 95 a 99 años;0
05 Ávila;05005 Albornos;Total;100 y más años;1
05 Ávila;05007 Aldeanueva de Santa Cruz;Total;De 65 a 69 años;4
05 Ávila;05007 Aldeanueva de Santa Cruz;Total;De 70 a 74 años;5
05 Ávila;05007 Aldeanueva de Santa Cruz;Total;De 75 a 79 años;10
05 Ávila;05007 Aldeanueva de Santa Cruz;Total;De 80 a 84 años;13
05 Ávila;05007 Aldeanueva de Santa Cruz;Total;De 85 a 89 años;7
05 Ávila;05007 Aldeanueva de Santa Cruz;Total;De 90 a 94 años;4
05 Ávila;05007 Aldeanueva de Santa Cruz;Total;De 95 a 99 años;2
05 Ávila;05007 Aldeanueva de Santa Cruz;Total;100 y más años;0
05 Ávila;05008 Aldeaseca;Total;De 65 a 69 años;20
05 Ávila;05008 Aldeaseca;Total;De 70 a 74 años;20
05 Ávila;05008 Aldeaseca;Total;De 75 a 79 años;22
05 Ávila;05008 Aldeaseca;Total;De 80 a 84 años;6
05 Ávila;05008 Aldeaseca;Total;De 85 a 89 años;10
05 Ávila;05008 Aldeaseca;Total;De 90 a 94 años;6
05 Ávila;05008 Aldeaseca;Total;De 95 a 99 años;1
05 Ávila;05008 Aldeaseca;Total;100 y más años;0
05 Ávila;05010 Aldehuela, La;Total;De 65 a 69 años;7
05 Ávila;05010 Aldehuela, La;Total;De 70 a 74 años;8
05 Ávila;05010 Aldehuela, La;Total;De 75 a 79 años;6
05 Ávila;05010 Aldehuela, La;Total;De 80 a 84 años;17
05 Ávila;05010 Aldehuela, La;Total;De 85 a 89 años;10
05 Ávila;05010 Aldehuela, La;Total;De 90 a 94 años;3
05 Ávila;05010 Aldehuela, La;Total;De 95 a 99 años;3
05 Ávila;05010 Aldehuela, La;Total;100 y más años;1
05 Ávila;05012 Amavida;Total;De 65 a 69 años;8
05 Ávila;05012 Amavida;Total;De 70 a 74 años;9
05 Ávila;05012 Amavida;Total;De 75 a 79 años;17
05 Ávila;05012 Amavida;Total;De 80 a 84 años;8
05 Ávila;05012 Amavida;Total;De 85 a 89 años;2
05 Ávila;05012 Amavida;Total;De 90 a 94 años;3
05 Ávila;05012 Amavida;Total;De 95 a 99 años;2
05 Ávila;05012 Amavida;Total;100 y más años;0
05 Ávila;05013 Arenal, El;Total;De 65 a 69 años;68
05 Ávila;05013 Arenal, El;Total;De 70 a 74 años;63
05 Ávila;05013 Arenal, El;Total;De 75 a 79 años;84
05 Ávila;05013 Arenal, El;Total;De 80 a 84 años;69
05 Ávila;05013 Arenal, El;Total;De 85 a 89 años;38
05 Ávila;05013 Arenal, El;Total;De 90 a 94 años;21
05 Ávila;05013 Arenal, El;Total;De 95 a 99 años;11
05 Ávila;05013 Arenal, El;Total;100 y más años;2
05 Ávila;05014 Arenas de San Pedro;Total;De 65 a 69 años;500
05 Ávila;05014 Arenas de San Pedro;Total;De 70 a 74 años;399
05 Ávila;05014 Arenas de San Pedro;Total;De 75 a 79 años;352
05 Ávila;05014 Arenas de San Pedro;Total;De 80 a 84 años;254
05 Ávila;05014 Arenas de San Pedro;Total;De 85 a 89 años;186
05 Ávila;05014 Arenas de San Pedro;Total;De 90 a 94 años;136
05 Ávila;05014 Arenas de San Pedro;Total;De 95 a 99 años;28
05 Ávila;05014 Arenas de San Pedro;Total;100 y más años;2
05 Ávila;05015 Arevalillo;Total;De 65 a 69 años;8
05 Ávila;05015 Arevalillo;Total;De 70 a 74 años;1
05 Ávila;05015 Arevalillo;Total;De 75 a 79 años;0
05 Ávila;05015 Arevalillo;Total;De 80 a 84 años;4
05 Ávila;05015 Arevalillo;Total;De 85 a 89 años;4
05 Ávila;05015 Arevalillo;Total;De 90 a 94 años;7
05 Ávila;05015 Arevalillo;Total;De 95 a 99 años;2
05 Ávila;05015 Arevalillo;Total;100 y más años;0
05 Ávila;05016 Arévalo;Total;De 65 a 69 años;513
05 Ávila;05016 Arévalo;Total;De 70 a 74 años;395
05 Ávila;05016 Arévalo;Total;De 75 a 79 años;329
05 Ávila;05016 Arévalo;Total;De 80 a 84 años;269
05 Ávila;05016 Arévalo;Total;De 85 a 89 años;159
05 Ávila;05016 Arévalo;Total;De 90 a 94 años;84
05 Ávila;05016 Arévalo;Total;De 95 a 99 años;27
05 Ávila;05016 Arévalo;Total;100 y más años;3
05 Ávila;05017 Aveinte;Total;De 65 a 69 años;8
05 Ávila;05017 Aveinte;Total;De 70 a 74 años;1
05 Ávila;05017 Aveinte;Total;De 75 a 79 años;5
05 Ávila;05017 Aveinte;Total;De 80 a 84 años;5
05 Ávila;05017 Aveinte;Total;De 85 a 89 años;2
05 Ávila;05017 Aveinte;Total;De 90 a 94 años;6
05 Ávila;05017 Aveinte;Total;De 95 a 99 años;0
05 Ávila;05017 Aveinte;Total;100 y más años;0
05 Ávila;05018 Avellaneda;Total;De 65 a 69 años;1
05 Ávila;05018 Avellaneda;Total;De 70 a 74 años;1
05 Ávila;05018 Avellaneda;Total;De 75 a 79 años;0
05 Ávila;05018 Avellaneda;Total;De 80 a 84 años;0
05 Ávila;05018 Avellaneda;Total;De 85 a 89 años;0
05 Ávila;05018 Avellaneda;Total;De 90 a 94 años;1
05 Ávila;05018 Avellaneda;Total;De 95 a 99 años;0
05 Ávila;05018 Avellaneda;Total;100 y más años;0
05 Ávila;05019 Ávila;Total;De 65 a 69 años;3.856
05 Ávila;05019 Ávila;Total;De 70 a 74 años;2.883
05 Ávila;05019 Ávila;Total;De 75 a 79 años;2.513
05 Ávila;05019 Ávila;Total;De 80 a 84 años;1.887
05 Ávila;05019 Ávila;Total;De 85 a 89 años;1.230
05 Ávila;05019 Ávila;Total;De 90 a 94 años;754
05 Ávila;05019 Ávila;Total;De 95 a 99 años;252
05 Ávila;05019 Ávila;Total;100 y más años;37
05 Ávila;05021 Barco de Ávila, El;Total;De 65 a 69 años;135
05 Ávila;05021 Barco de Ávila, El;Total;De 70 a 74 años;121
05 Ávila;05021 Barco de Ávila, El;Total;De 75 a 79 años;108
05 Ávila;05021 Barco de Ávila, El;Total;De 80 a 84 años;108
05 Ávila;05021 Barco de Ávila, El;Total;De 85 a 89 años;76
05 Ávila;05021 Barco de Ávila, El;Total;De 90 a 94 años;57
05 Ávila;05021 Barco de Ávila, El;Total;De 95 a 99 años;16
05 Ávila;05021 Barco de Ávila, El;Total;100 y más años;0
05 Ávila;05022 Barraco, El;Total;De 65 a 69 años;149
05 Ávila;05022 Barraco, El;Total;De 70 a 74 años;119
05 Ávila;05022 Barraco, El;Total;De 75 a 79 años;108
05 Ávila;05022 Barraco, El;Total;De 80 a 84 años;83
05 Ávila;05022 Barraco, El;Total;De 85 a 89 años;71
05 Ávila;05022 Barraco, El;Total;De 90 a 94 años;61
05 Ávila;05022 Barraco, El;Total;De 95 a 99 años;18
05 Ávila;05022 Barraco, El;Total;100 y más años;1
05 Ávila;05023 Barromán;Total;De 65 a 69 años;10
05 Ávila;05023 Barromán;Total;De 70 a 74 años;6
05 Ávila;05023 Barromán;Total;De 75 a 79 años;12
05 Ávila;05023 Barromán;Total;De 80 a 84 años;14
05 Ávila;05023 Barromán;Total;De 85 a 89 años;9
05 Ávila;05023 Barromán;Total;De 90 a 94 años;11
05 Ávila;05023 Barromán;Total;De 95 a 99 años;0
05 Ávila;05023 Barromán;Total;100 y más años;0
05 Ávila;05024 Becedas;Total;De 65 a 69 años;13
05 Ávila;05024 Becedas;Total;De 70 a 74 años;13
05 Ávila;05024 Becedas;Total;De 75 a 79 años;11
05 Ávila;05024 Becedas;Total;De 80 a 84 años;11
05 Ávila;05024 Becedas;Total;De 85 a 89 años;15
05 Ávila;05024 Becedas;Total;De 90 a 94 años;8
05 Ávila;05024 Becedas;Total;De 95 a 99 años;3
05 Ávila;05024 Becedas;Total;100 y más años;0
05 Ávila;05025 Becedillas;Total;De 65 a 69 años;10
05 Ávila;05025 Becedillas;Total;De 70 a 74 años;9
05 Ávila;05025 Becedillas;Total;De 75 a 79 años;4
05 Ávila;05025 Becedillas;Total;De 80 a 84 años;4
05 Ávila;05025 Becedillas;Total;De 85 a 89 años;4
05 Ávila;05025 Becedillas;Total;De 90 a 94 años;3
05 Ávila;05025 Becedillas;Total;De 95 a 99 años;0
05 Ávila;05025 Becedillas;Total;100 y más años;0
05 Ávila;05026 Bercial de Zapardiel;Total;De 65 a 69 años;13
05 Ávila;05026 Bercial de Zapardiel;Total;De 70 a 74 años;11
05 Ávila;05026 Bercial de Zapardiel;Total;De 75 a 79 años;19
05 Ávila;05026 Bercial de Zapardiel;Total;De 80 a 84 años;10
05 Ávila;05026 Bercial de Zapardiel;Total;De 85 a 89 años;11
05 Ávila;05026 Bercial de Zapardiel;Total;De 90 a 94 años;8
05 Ávila;05026 Bercial de Zapardiel;Total;De 95 a 99 años;1
05 Ávila;05026 Bercial de Zapardiel;Total;100 y más años;1
05 Ávila;05027 Berlanas, Las;Total;De 65 a 69 años;28
05 Ávila;05027 Berlanas, Las;Total;De 70 a 74 años;16
05 Ávila;05027 Berlanas, Las;Total;De 75 a 79 años;17
05 Ávila;05027 Berlanas, Las;Total;De 80 a 84 años;19
05 Ávila;05027 Berlanas, Las;Total;De 85 a 89 años;12
05 Ávila;05027 Berlanas, Las;Total;De 90 a 94 años;12
05 Ávila;05027 Berlanas, Las;Total;De 95 a 99 años;2
05 Ávila;05027 Berlanas, Las;Total;100 y más años;0
05 Ávila;05029 Bernuy-Zapardiel;Total;De 65 a 69 años;8
05 Ávila;05029 Bernuy-Zapardiel;Total;De 70 a 74 años;6
05 Ávila;05029 Bernuy-Zapardiel;Total;De 75 a 79 años;7
05 Ávila;05029 Bernuy-Zapardiel;Total;De 80 a 84 años;6
05 Ávila;05029 Bernuy-Zapardiel;Total;De 85 a 89 años;3
05 Ávila;05029 Bernuy-Zapardiel;Total;De 90 a 94 años;6
05 Ávila;05029 Bernuy-Zapardiel;Total;De 95 a 99 años;1
05 Ávila;05029 Bernuy-Zapardiel;Total;100 y más años;1
05 Ávila;05030 Berrocalejo de Aragona;Total;De 65 a 69 años;6
05 Ávila;05030 Berrocalejo de Aragona;Total;De 70 a 74 años;1
05 Ávila;05030 Berrocalejo de Aragona;Total;De 75 a 79 años;2
05 Ávila;05030 Berrocalejo de Aragona;Total;De 80 a 84 años;2
05 Ávila;05030 Berrocalejo de Aragona;Total;De 85 a 89 años;5
05 Ávila;05030 Berrocalejo de Aragona;Total;De 90 a 94 años;0
05 Ávila;05030 Berrocalejo de Aragona;Total;De 95 a 99 años;0
05 Ávila;05030 Berrocalejo de Aragona;Total;100 y más años;0
05 Ávila;05033 Blascomillán;Total;De 65 a 69 años;20
05 Ávila;05033 Blascomillán;Total;De 70 a 74 años;12
05 Ávila;05033 Blascomillán;Total;De 75 a 79 años;7
05 Ávila;05033 Blascomillán;Total;De 80 a 84 años;12
05 Ávila;05033 Blascomillán;Total;De 85 a 89 años;13
05 Ávila;05033 Blascomillán;Total;De 90 a 94 años;5
05 Ávila;05033 Blascomillán;Total;De 95 a 99 años;2
05 Ávila;05033 Blascomillán;Total;100 y más años;1
05 Ávila;05034 Blasconuño de Matacabras;Total;De 65 a 69 años;3
05 Ávila;05034 Blasconuño de Matacabras;Total;De 70 a 74 años;5
05 Ávila;05034 Blasconuño de Matacabras;Total;De 75 a 79 años;2
05 Ávila;05034 Blasconuño de Matacabras;Total;De 80 a 84 años;0
05 Ávila;05034 Blasconuño de Matacabras;Total;De 85 a 89 años;0
05 Ávila;05034 Blasconuño de Matacabras;Total;De 90 a 94 años;0
05 Ávila;05034 Blasconuño de Matacabras;Total;De 95 a 99 años;0
05 Ávila;05034 Blasconuño de Matacabras;Total;100 y más años;0
05 Ávila;05035 Blascosancho;Total;De 65 a 69 años;7
05 Ávila;05035 Blascosancho;Total;De 70 a 74 años;5
05 Ávila;05035 Blascosancho;Total;De 75 a 79 años;4
05 Ávila;05035 Blascosancho;Total;De 80 a 84 años;8
05 Ávila;05035 Blascosancho;Total;De 85 a 89 años;4
05 Ávila;05035 Blascosancho;Total;De 90 a 94 años;0
05 Ávila;05035 Blascosancho;Total;De 95 a 99 años;3
05 Ávila;05035 Blascosancho;Total;100 y más años;0
05 Ávila;05036 Bohodón, El;Total;De 65 a 69 años;16
05 Ávila;05036 Bohodón, El;Total;De 70 a 74 años;3
05 Ávila;05036 Bohodón, El;Total;De 75 a 79 años;5
05 Ávila;05036 Bohodón, El;Total;De 80 a 84 años;4
05 Ávila;05036 Bohodón, El;Total;De 85 a 89 años;11
05 Ávila;05036 Bohodón, El;Total;De 90 a 94 años;2
05 Ávila;05036 Bohodón, El;Total;De 95 a 99 años;2
05 Ávila;05036 Bohodón, El;Total;100 y más años;0
05 Ávila;05037 Bohoyo;Total;De 65 a 69 años;16
05 Ávila;05037 Bohoyo;Total;De 70 a 74 años;17
05 Ávila;05037 Bohoyo;Total;De 75 a 79 años;15
05 Ávila;05037 Bohoyo;Total;De 80 a 84 años;19
05 Ávila;05037 Bohoyo;Total;De 85 a 89 años;9
05 Ávila;05037 Bohoyo;Total;De 90 a 94 años;17
