Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional;Posición
A POC A POC;37-C22-0582;CL. JUAN DE LA FUENTE, 0;37001;SALAMANCA;SALAMANCA;667882267;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA;MUÑOZ ALONSO , PALOMA;PRIVADOS;40.9651572, -5.6640182
A&ADENT;24-C251-0294;CL. PARROCO HERIBERTO AMPUDIA 15;24010;TROBAJO DEL CAMINO;LEON;987221158;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;AADENT C.B.;PRIVADOS;42.6005197, -5.5912713
ABD FISIOTERAPIA;42-C22-0025;CL. CARO, 5, 3. G;42001;SORIA;SORIA;975121212;975121212;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GARCIA GARCES , ENRIQUE;PRIVADOS;41.7670994, -2.4703739
AC CENTRO DE ESPECIALIDADES ODONTOLOGICAS;47-C251-0284;AV. ZAMORA 23, LOCAL 2;47008;VALLADOLID;VALLADOLID;666330869;0;CENTROS POLIVALENTES;CIRUGIA MAXILOFACIAL#DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#ODONTOLOGIA / ESTOMATOLOGIA;LAMR SALUD S. L.;PRIVADOS;41.6225972, -4.7472057
AC CLINIC FISIOTERAPIA Y OSTEOPATIA;47-C22-0625;CL. HIERBABUENA 4;47009;VALLADOLID;VALLADOLID;660040260;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;AC CLINIC FISIOTERAPIA Y OSTEOPATIA S.C.;PRIVADOS;41.6521807, -4.728605
ACAMAR;34-C22-0180;CL. PUENTE 3, BAJO;34800;AGUILAR DE CAMPOO;PALENCIA;650937478;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ANCLA PSICOLOGIA S.L.;PRIVADOS;42.7928369, -4.2605438
ACEDO DENTAL;05-C251-0101;CL. ABANICO 10  1;05600;BARCO DE AVILA (EL);AVILA;0;0;ESPECIALIZADOS: CLINICAS DENTALES;IMPLANTACION DE TEJIDOS#ODONTOLOGIA / ESTOMATOLOGIA;ACEDO DENTAL SLP;PRIVADOS;40.3580528, -5.5231358
ACQUA ESTETICA;34-C21-0090;CL. CARDENAL ALMARAZ 3;34005;PALENCIA;PALENCIA;979752617;979752636;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA;RUIFERNANDEZ CALZADA , SONIA;PRIVADOS;42.0094417, -4.5340728
ACTIUM ESPACIO SALUD;47-C3-0284;CL. MORAÑA 12;47008;VALLADOLID;VALLADOLID;692161110;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;FISIOTERAPIA#NUTRICION Y DIETETICA;ACTIUM HEALTH PERFORMANCE S.L.L.;PRIVADOS;41.6222648, -4.7516142
ACTIVATE - MARTA GARCIA CABEZAS;24-C22-0425;CL. GRAN VIA DE SAN MARCOS 55  B;24001;LEON;LEON;680800830;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);GARCIA CABEZAS , MARTA;PRIVADOS;42.6008133, -5.5796993
ACTIVATE FISIOTERAPIA;24-C22-0365;TR. REYES CATOLICOS 17;24402;PONFERRADA;LEON;987413997;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GRAGERA GAMA , JAVIER;PRIVADOS;42.5455843, -6.6011853
ADAPTA PSICOLOGIA APLICADA;37-C22-0221;CL. TOMILLAR 1;37120;DOÑINOS DE SALAMANCA;SALAMANCA;923330621;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);PEREZ GARCIA , MARIA ANGELES;PRIVADOS;40.9600575, -5.7341295
ADARA CLINICAS;47-C24-0130;CL. TUDELA 15;47002;VALLADOLID;VALLADOLID;639838402;0;CENTROS POLIVALENTES;ANESTESIA Y REANIMACION#CIRUGIA GENERAL Y DIGESTIVO#CIRUGIA MENOR AMBULATORIA#CIRUGIA PLASTICA Y REPARADORA#DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#MEDICINA GENERAL /  DE FAMILIA#OTORRINOLARINGOLOGIA#OTRAS UNIDADES ASISTENCIALES (NUTRICION Y DIETETICA)#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#TRATAMIENTO DEL DOLOR;ADARA CLINICAS S.L.;PRIVADOS;41.647969, -4.719082
ADELANTE CLINICA DE LOGOPEDIA;24-C22-0415;CL. FERNANDO III EL SANTO 4;24007;LEON;LEON;689737473;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);CAÑON MARTINEZ , RAQUEL;PRIVADOS;42.6062125, -5.570789
ADESLAS DENTAL BURGOS;09-C251-0145;CL. DOÑA BERENGUELA N 11 (ACCESO POR CL. LEON XIII);09005;BURGOS;BURGOS;947244902;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ADESLAS DENTAL S.A.U.;PRIVADOS;42.3499031, -3.6941411
ADESLAS DENTAL S.A.U.;47-C251-0327;PS. ZORRILLA 37;47007;VALLADOLID;VALLADOLID;917824924;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ADESLAS DENTAL S.A.U.;PRIVADOS;41.6414959, -4.7371584
AEGIS DENTAL BY GUILLERMO HERNANDEZ;47-C251-0184;CL. FAUSTO HERRERO 1;47420;ISCAR;VALLADOLID;983612636;983612637;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;HERNANDEZ MAESO , GUILLERMO;PRIVADOS;41.3648274, -4.5288789
AFFI BIERZO;24-C3-0348;ED. BAJOS DEL ESTADIO TORALIN 17;24404;PONFERRADA;LEON;0;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;FISIOTERAPIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);AFFI BIERZO ASOC.;PRIVADOS;42.5454124, -6.5938719
AFFIDEA H. SAGRADO CORAZON;47-C256-0017;CL. FIDEL RECIO (SANATORIO SAGRADO CORAZON) 1;47002;VALLADOLID;VALLADOLID;983395888;983390174;ESPECIALIZADOS: CENTROS DE DIAGNOSTICO;RADIODIAGNOSTICO;CENTRO DE DIAGNOSTICO VALLADOLID SAU;PRIVADOS;41.6496101, -4.7202101
AFRICA. CENTRO MEDICO ESTETICO;09-C3-0180;CL. DOCTOR FLEMING 3;09002;BURGOS;BURGOS;609723696;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#OTRAS UNIDADES ASISTENCIALES (NUTRICION Y DIETETICA);VELASCO DIEZ , RAQUEL;PRIVADOS;42.3384706, -3.6962351
AGORA GABINETE PSICOLOGICO;47-C22-0441;CL. FRAY LUIS DE LEON 22, 2. C;47002;VALLADOLID;VALLADOLID;983392386;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);AGORA GABINETE PSICOLOGICO C.B.;PRIVADOS;41.6506127, -4.7215393
AIIRE;34-C22-0224;PZ. EUROPA 2;34003;PALENCIA;PALENCIA;649465709;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BE BALANCE DUO PALENCIA;PRIVADOS;42.011963, -4.526146
AION SALUD CENTRO SANITARIO;05-C22-0209;BJ. DON ALONSO, 2  2;05003;AVILA;AVILA;92004859;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);MARTIN MUÑOZ , TERESA;PRIVADOS;40.653634, -4.690269
